Training dimension 1...
Epoch  20:  Train Loss: 2.5877e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch  40:  Train Loss: 7.3433e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.010336
Epoch  60:  Train Loss: 2.6779e-03,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.054843
Epoch  80:  Train Loss: 1.4983e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.12925
Epoch 100:  Train Loss: 9.4930e-06,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.22448
Epoch 120:  Train Loss: 4.1400e-15,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.32891
Early stopping at epoch 134 as train loss 0.000000000000 is below the threshold 0.000001000000
Traininng Stopped. Time elapsed: 10.10s
Training dimension 2...
Epoch  20:  Train Loss: 1.0617e-03,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch  40:  Train Loss: 4.3522e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.010336
Epoch  60:  Train Loss: 1.2732e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.054843
Epoch  80:  Train Loss: 1.7122e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.12925
Epoch 100:  Train Loss: 6.3854e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.22448
Epoch 120:  Train Loss: 1.1925e-02,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.32891
Epoch 140:  Train Loss: 1.1008e-02,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.42983
Epoch 160:  Train Loss: 1.8419e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.51491
Epoch 180:  Train Loss: 1.7103e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.57378
Epoch 200:  Train Loss: 1.7120e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.59926
Epoch 220:  Train Loss: 1.7113e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.08s,  Current Pruning Threshold: 0.6
Epoch 240:  Train Loss: 1.7101e+00,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.6
Epoch 260:  Train Loss: 1.4187e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0
Epoch 280:  Train Loss: 3.8736e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.010336
Epoch 300:  Train Loss: 1.8077e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.054843
Epoch 320:  Train Loss: 7.8734e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.12925
Epoch 340:  Train Loss: 3.2873e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.22448
Epoch 360:  Train Loss: 2.8807e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.32891
Epoch 380:  Train Loss: 1.0717e-04,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.42983
Epoch 400:  Train Loss: 1.1509e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.51491
Epoch 420:  Train Loss: 1.1177e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.57378
Epoch 440:  Train Loss: 1.0684e-05,  Validation Loss: 0.0000e+00,  Epoch Time: 0.07s,  Current Pruning Threshold: 0.59926
