Total Dimensions: 10
Training dimension 1...
Epoch   1 (Period 1):  Train Loss: 5.660e-01,  Validation Loss: 6.802e-02,  Epoch Time: 0.51s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 4.524e-02,  Validation Loss: 3.126e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 2.512e-02,  Validation Loss: 2.077e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 2.417e-02,  Validation Loss: 1.372e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 2.437e-02,  Validation Loss: 2.657e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.192e-02,  Validation Loss: 2.180e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.442e-02,  Validation Loss: 2.165e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.726e-02,  Validation Loss: 9.884e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00083769
Epoch   9 (Period 1):  Train Loss: 1.445e-02,  Validation Loss: 2.439e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.003332
Epoch  10 (Period 1):  Train Loss: 8.900e-03,  Validation Loss: 6.376e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0074273
Epoch  11 (Period 1):  Train Loss: 1.640e-02,  Validation Loss: 5.228e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.013032
Epoch  12 (Period 1):  Train Loss: 2.321e-02,  Validation Loss: 9.431e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.020021
Epoch  13 (Period 1):  Train Loss: 3.846e-02,  Validation Loss: 1.727e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.028238
Epoch  14 (Period 1):  Train Loss: 7.297e-02,  Validation Loss: 3.558e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0375
Epoch  15 (Period 1):  Train Loss: 1.309e-01,  Validation Loss: 8.804e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.047599
Epoch  16 (Period 1):  Train Loss: 1.115e-01,  Validation Loss: 1.010e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.058311
Epoch  17 (Period 1):  Train Loss: 1.465e-01,  Validation Loss: 1.415e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.069395
Epoch  18 (Period 1):  Train Loss: 1.666e-01,  Validation Loss: 1.572e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.080605
Epoch  19 (Period 1):  Train Loss: 1.874e-01,  Validation Loss: 1.562e-01,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.091689
Epoch  20 (Period 1):  Train Loss: 3.883e-01,  Validation Loss: 3.295e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.1024
Epoch  21 (Period 1):  Train Loss: 3.217e-01,  Validation Loss: 3.335e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.1125
Epoch  22 (Period 1):  Train Loss: 3.169e-01,  Validation Loss: 3.091e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12176
Epoch  23 (Period 1):  Train Loss: 3.168e-01,  Validation Loss: 3.084e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.12998
Epoch  24 (Period 1):  Train Loss: 3.155e-01,  Validation Loss: 3.068e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.13697
Epoch  25 (Period 1):  Train Loss: 3.933e-01,  Validation Loss: 3.409e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.14257
Epoch  26 (Period 1):  Train Loss: 3.466e-01,  Validation Loss: 3.440e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.14667
Epoch  27 (Period 1):  Train Loss: 3.469e-01,  Validation Loss: 3.405e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.14916
Epoch  28 (Period 1):  Train Loss: 3.452e-01,  Validation Loss: 3.403e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  29 (Period 1):  Train Loss: 3.447e-01,  Validation Loss: 3.418e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  30 (Period 1):  Train Loss: 3.449e-01,  Validation Loss: 3.388e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.15
Epoch  31 (Period 2):  Train Loss: 3.500e-01,  Validation Loss: 6.286e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  32 (Period 2):  Train Loss: 4.628e-03,  Validation Loss: 2.872e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  33 (Period 2):  Train Loss: 2.807e-03,  Validation Loss: 2.202e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  34 (Period 2):  Train Loss: 2.389e-03,  Validation Loss: 2.104e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  35 (Period 2):  Train Loss: 1.765e-03,  Validation Loss: 1.573e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch  36 (Period 2):  Train Loss: 3.454e-03,  Validation Loss: 5.025e-03,  Epoch Time: 0.56s,  Current Pruning Threshold: 0
Epoch  37 (Period 2):  Train Loss: 2.446e-03,  Validation Loss: 8.776e-03,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch  38 (Period 2):  Train Loss: 4.433e-03,  Validation Loss: 2.492e-03,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.00083769
Epoch  39 (Period 2):  Train Loss: 2.568e-03,  Validation Loss: 9.216e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.003332
Epoch  40 (Period 2):  Train Loss: 7.820e-03,  Validation Loss: 2.647e-03,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.0074273
Epoch  41 (Period 2):  Train Loss: 1.015e-02,  Validation Loss: 6.764e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.013032
Epoch  42 (Period 2):  Train Loss: 1.660e-02,  Validation Loss: 1.297e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.020021
Epoch  43 (Period 2):  Train Loss: 2.267e-02,  Validation Loss: 1.954e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.028238
Epoch  44 (Period 2):  Train Loss: 3.602e-02,  Validation Loss: 2.861e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0375
