Total Dimensions: 128
Training dimension 1...
Epoch   1:  Train Loss: 2.609e-02,  Validation Loss: 2.182e-04,  Epoch Time: 0.96s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 1.051e-04,  Validation Loss: 7.784e-05,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.282e-04,  Validation Loss: 1.437e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.491e-04,  Validation Loss: 2.936e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 2.691e-04,  Validation Loss: 1.808e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 2.525e-04,  Validation Loss: 2.866e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 4.772e-04,  Validation Loss: 3.124e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 1.886e-04,  Validation Loss: 9.800e-05,  Epoch Time: 0.68s,  Current Pruning Threshold: 5.6692e-05
Epoch   9:  Train Loss: 2.049e-04,  Validation Loss: 5.306e-05,  Epoch Time: 0.70s,  Current Pruning Threshold: 0.00022661
Epoch  10:  Train Loss: 2.401e-04,  Validation Loss: 4.746e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.00050927
Epoch  11:  Train Loss: 2.709e-04,  Validation Loss: 1.810e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.00090386
Epoch  12:  Train Loss: 1.952e-04,  Validation Loss: 1.400e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.0014093
Epoch  13:  Train Loss: 8.173e-04,  Validation Loss: 2.237e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.0020241
Epoch  14:  Train Loss: 4.593e-05,  Validation Loss: 1.205e-05,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.0027466
Epoch  15:  Train Loss: 1.410e-05,  Validation Loss: 2.081e-05,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.0035746
Epoch  16:  Train Loss: 9.589e-05,  Validation Loss: 1.117e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.0045059
Epoch  17:  Train Loss: 1.645e-04,  Validation Loss: 3.530e-04,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.0055378
Epoch  18:  Train Loss: 1.036e-04,  Validation Loss: 7.015e-05,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.0066674
Epoch  19:  Train Loss: 1.705e-04,  Validation Loss: 1.713e-04,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.0078915
Epoch  20:  Train Loss: 8.061e-05,  Validation Loss: 2.969e-05,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.0092066
Epoch  21:  Train Loss: 7.274e-05,  Validation Loss: 9.247e-05,  Epoch Time: 0.68s,  Current Pruning Threshold: 0.010609
Epoch  22:  Train Loss: 1.215e-04,  Validation Loss: 9.006e-05,  Epoch Time: 0.69s,  Current Pruning Threshold: 0.012095
