Total Dimensions: 60
Training dimension 1...
Epoch   1:  Train Loss: 1.117e+00,  Validation Loss: 2.249e-02,  Epoch Time: 1.02s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 1.100e-02,  Validation Loss: 5.184e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 3.705e-03,  Validation Loss: 2.563e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 2.086e-03,  Validation Loss: 1.576e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.374e-03,  Validation Loss: 1.056e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.033e-03,  Validation Loss: 8.398e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.286e-03,  Validation Loss: 1.088e-03,  Epoch Time: 0.76s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 4.305e-03,  Validation Loss: 2.777e-03,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.0005862
Epoch   9:  Train Loss: 3.233e-03,  Validation Loss: 1.385e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.0023379
Epoch  10:  Train Loss: 1.033e-03,  Validation Loss: 1.000e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.0052347
Epoch  11:  Train Loss: 1.160e-03,  Validation Loss: 1.590e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0092425
Epoch  12:  Train Loss: 6.188e-03,  Validation Loss: 1.260e-02,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.014314
Epoch  13:  Train Loss: 1.023e-02,  Validation Loss: 1.414e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.020391
Epoch  14:  Train Loss: 6.685e-04,  Validation Loss: 3.045e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.0274
Epoch  15:  Train Loss: 4.901e-04,  Validation Loss: 2.585e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.035261
Epoch  16:  Train Loss: 6.064e-04,  Validation Loss: 2.773e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.043881
Epoch  17:  Train Loss: 1.230e-03,  Validation Loss: 5.593e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.053159
Epoch  18:  Train Loss: 1.284e-03,  Validation Loss: 3.684e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.062986
Epoch  19:  Train Loss: 1.002e-03,  Validation Loss: 2.430e-04,  Epoch Time: 0.88s,  Current Pruning Threshold: 0.073247
Epoch  20:  Train Loss: 1.060e-03,  Validation Loss: 2.263e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.083822
Epoch  21:  Train Loss: 8.561e-04,  Validation Loss: 2.196e-04,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.094586
Epoch  22:  Train Loss: 1.087e-03,  Validation Loss: 2.986e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.10541
Epoch  23:  Train Loss: 9.875e-04,  Validation Loss: 3.875e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.11618
Epoch  24:  Train Loss: 9.926e-04,  Validation Loss: 5.870e-04,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.12675
Epoch  25:  Train Loss: 9.718e-04,  Validation Loss: 6.702e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.13701
Epoch  26:  Train Loss: 1.066e-03,  Validation Loss: 8.059e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.14684
Epoch  27:  Train Loss: 1.233e-03,  Validation Loss: 1.272e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.15612
Epoch  28:  Train Loss: 1.411e-03,  Validation Loss: 1.282e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.16474
Epoch  29:  Train Loss: 1.492e-03,  Validation Loss: 1.696e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.1726
Epoch  30:  Train Loss: 1.621e-03,  Validation Loss: 1.534e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.17961
Epoch  31:  Train Loss: 1.578e-03,  Validation Loss: 1.488e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.18569
Epoch  32:  Train Loss: 1.569e-03,  Validation Loss: 1.562e-03,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.19076
Epoch  33:  Train Loss: 1.603e-03,  Validation Loss: 1.580e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.19477
Epoch  34:  Train Loss: 1.606e-03,  Validation Loss: 1.525e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.19766
Epoch  35:  Train Loss: 1.643e-03,  Validation Loss: 1.638e-03,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.19941
Epoch  36:  Train Loss: 1.661e-03,  Validation Loss: 1.550e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.2
Epoch  37:  Train Loss: 1.679e-03,  Validation Loss: 1.602e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.2
Epoch  38:  Train Loss: 1.678e-03,  Validation Loss: 1.734e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.2
Epoch  39:  Train Loss: 1.757e-03,  Validation Loss: 1.690e-03,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.2
Epoch  40:  Train Loss: 1.771e-03,  Validation Loss: 1.739e-03,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.2
Epoch  41:  Train Loss: 8.703e-01,  Validation Loss: 1.196e-02,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch  42:  Train Loss: 5.370e-03,  Validation Loss: 2.653e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0
Epoch  43:  Train Loss: 1.969e-03,  Validation Loss: 1.460e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0
Epoch  44:  Train Loss: 1.179e-03,  Validation Loss: 9.314e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch  45:  Train Loss: 8.124e-04,  Validation Loss: 6.921e-04,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch  46:  Train Loss: 6.181e-04,  Validation Loss: 5.422e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0
Epoch  47:  Train Loss: 5.128e-04,  Validation Loss: 5.085e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0
Epoch  48:  Train Loss: 2.172e-03,  Validation Loss: 7.704e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0005862
Epoch  49:  Train Loss: 6.642e-04,  Validation Loss: 4.579e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0023379
Epoch  50:  Train Loss: 4.783e-04,  Validation Loss: 5.402e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.0052347
Epoch  51:  Train Loss: 6.281e-04,  Validation Loss: 6.772e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.0092425
Epoch  52:  Train Loss: 1.719e-03,  Validation Loss: 3.337e-03,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.014314
Epoch  53:  Train Loss: 3.406e-03,  Validation Loss: 1.015e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.020391
Epoch  54:  Train Loss: 8.585e-04,  Validation Loss: 4.866e-04,  Epoch Time: 0.81s,  Current Pruning Threshold: 0.0274
Epoch  55:  Train Loss: 7.147e-04,  Validation Loss: 2.773e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.035261
Epoch  56:  Train Loss: 7.851e-04,  Validation Loss: 3.062e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.043881
Epoch  57:  Train Loss: 8.147e-04,  Validation Loss: 3.334e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.053159
Epoch  58:  Train Loss: 8.146e-04,  Validation Loss: 1.627e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.062986
Epoch  59:  Train Loss: 7.780e-04,  Validation Loss: 1.467e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.073247
Epoch  60:  Train Loss: 7.070e-04,  Validation Loss: 1.695e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.083822
Epoch  61:  Train Loss: 5.692e-04,  Validation Loss: 1.945e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.094586
Epoch  62:  Train Loss: 6.229e-04,  Validation Loss: 2.529e-04,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.10541
Epoch  63:  Train Loss: 7.190e-04,  Validation Loss: 3.654e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.11618
Epoch  64:  Train Loss: 6.108e-04,  Validation Loss: 2.639e-04,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.12675
Epoch  65:  Train Loss: 2.303e-04,  Validation Loss: 4.560e-05,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.13701
Epoch  66:  Train Loss: 1.081e-05,  Validation Loss: 4.572e-06,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.14684
