Epoch   1:  Train Loss: 3.0852e+01,  Validation Loss: 3.3176e+00,  Epoch Time: 1.47s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.5806e+01,  Validation Loss: 3.0124e+00,  Epoch Time: 0.97s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.2895e+01,  Validation Loss: 2.6309e+00,  Epoch Time: 1.15s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 5.1761e+01,  Validation Loss: 2.3186e+01,  Epoch Time: 0.99s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.7755e+00,  Validation Loss: 6.9245e-01,  Epoch Time: 1.04s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.2161e+00,  Validation Loss: 2.3793e+00,  Epoch Time: 1.01s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.5687e+01,  Validation Loss: 2.5669e+00,  Epoch Time: 0.98s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 6.6474e-01,  Validation Loss: 3.5412e-01,  Epoch Time: 1.01s,  Current Pruning Threshold: 0.0016754
Epoch   9:  Train Loss: 9.0826e+00,  Validation Loss: 1.8381e+00,  Epoch Time: 1.06s,  Current Pruning Threshold: 0.0066641
Epoch  10:  Train Loss: 4.1898e+00,  Validation Loss: 2.4931e+00,  Epoch Time: 0.97s,  Current Pruning Threshold: 0.014855
Epoch  11:  Train Loss: 8.2939e+00,  Validation Loss: 4.8928e+00,  Epoch Time: 0.95s,  Current Pruning Threshold: 0.026064
Epoch  12:  Train Loss: 1.1010e+01,  Validation Loss: 1.0172e+01,  Epoch Time: 0.97s,  Current Pruning Threshold: 0.040042
Epoch  13:  Train Loss: 1.1047e+01,  Validation Loss: 1.0636e+01,  Epoch Time: 0.95s,  Current Pruning Threshold: 0.056477
Epoch  14:  Train Loss: 1.1017e+01,  Validation Loss: 1.0551e+01,  Epoch Time: 0.96s,  Current Pruning Threshold: 0.075
Epoch  15:  Train Loss: 1.1124e+01,  Validation Loss: 1.0653e+01,  Epoch Time: 0.99s,  Current Pruning Threshold: 0.095199
Epoch  16:  Train Loss: 1.2655e+01,  Validation Loss: 1.1774e+01,  Epoch Time: 1.01s,  Current Pruning Threshold: 0.11662
Epoch  17:  Train Loss: 1.1573e+01,  Validation Loss: 1.1036e+01,  Epoch Time: 0.99s,  Current Pruning Threshold: 0.13879
Epoch  18:  Train Loss: 1.0941e+01,  Validation Loss: 1.0520e+01,  Epoch Time: 0.98s,  Current Pruning Threshold: 0.16121
Epoch  19:  Train Loss: 1.0673e+01,  Validation Loss: 1.0217e+01,  Epoch Time: 1.04s,  Current Pruning Threshold: 0.18338
Epoch  20:  Train Loss: 1.0139e+01,  Validation Loss: 9.7833e+00,  Epoch Time: 1.03s,  Current Pruning Threshold: 0.2048
Epoch  21:  Train Loss: 1.2223e+01,  Validation Loss: 1.1573e+01,  Epoch Time: 0.97s,  Current Pruning Threshold: 0.225
Epoch  22:  Train Loss: 1.1394e+01,  Validation Loss: 1.0954e+01,  Epoch Time: 1.03s,  Current Pruning Threshold: 0.24352
Epoch  23:  Train Loss: 1.0885e+01,  Validation Loss: 1.0603e+01,  Epoch Time: 1.12s,  Current Pruning Threshold: 0.25996
Epoch  24:  Train Loss: 1.0537e+01,  Validation Loss: 1.0309e+01,  Epoch Time: 1.05s,  Current Pruning Threshold: 0.27394
Epoch  25:  Train Loss: 1.0328e+01,  Validation Loss: 1.0203e+01,  Epoch Time: 0.98s,  Current Pruning Threshold: 0.28515
Epoch  26:  Train Loss: 1.0187e+01,  Validation Loss: 1.0049e+01,  Epoch Time: 0.99s,  Current Pruning Threshold: 0.29334
Epoch  27:  Train Loss: 1.0118e+01,  Validation Loss: 1.0066e+01,  Epoch Time: 1.02s,  Current Pruning Threshold: 0.29832
Epoch  28:  Train Loss: 1.0089e+01,  Validation Loss: 1.0031e+01,  Epoch Time: 0.95s,  Current Pruning Threshold: 0.3
Epoch  29:  Train Loss: 1.0061e+01,  Validation Loss: 1.0050e+01,  Epoch Time: 0.98s,  Current Pruning Threshold: 0.3
Epoch  30:  Train Loss: 1.1078e+01,  Validation Loss: 1.0976e+01,  Epoch Time: 1.08s,  Current Pruning Threshold: 0.3
Epoch  31:  Train Loss: 5.4023e+02,  Validation Loss: 4.1638e-01,  Epoch Time: 0.98s,  Current Pruning Threshold: 0
Epoch  32:  Train Loss: 2.1449e-01,  Validation Loss: 1.1976e-01,  Epoch Time: 1.01s,  Current Pruning Threshold: 0
Epoch  33:  Train Loss: 9.1296e-02,  Validation Loss: 7.4238e-02,  Epoch Time: 1.02s,  Current Pruning Threshold: 0
Epoch  34:  Train Loss: 6.2847e-02,  Validation Loss: 5.2447e-02,  Epoch Time: 1.00s,  Current Pruning Threshold: 0
Epoch  35:  Train Loss: 4.6796e-02,  Validation Loss: 4.1695e-02,  Epoch Time: 0.97s,  Current Pruning Threshold: 0
Epoch  36:  Train Loss: 4.0754e-02,  Validation Loss: 4.1229e-02,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch  37:  Train Loss: 4.0753e-02,  Validation Loss: 3.2937e-02,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch  38:  Train Loss: 7.8865e-01,  Validation Loss: 3.1510e-01,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.0016754
Epoch  39:  Train Loss: 9.3598e-01,  Validation Loss: 7.7980e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.0066641
Epoch  40:  Train Loss: 1.5611e+00,  Validation Loss: 1.0925e+00,  Epoch Time: 1.02s,  Current Pruning Threshold: 0.014855
Epoch  41:  Train Loss: 1.1917e+00,  Validation Loss: 1.0840e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.026064
Epoch  42:  Train Loss: 1.4565e+00,  Validation Loss: 1.2923e+00,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.040042
Epoch  43:  Train Loss: 2.2558e+00,  Validation Loss: 1.8054e+00,  Epoch Time: 0.89s,  Current Pruning Threshold: 0.056477
Epoch  44:  Train Loss: 1.5798e+00,  Validation Loss: 1.3380e+00,  Epoch Time: 0.89s,  Current Pruning Threshold: 0.075
Epoch  45:  Train Loss: 1.1747e+00,  Validation Loss: 9.8149e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.095199
Epoch  46:  Train Loss: 8.4698e-01,  Validation Loss: 6.9434e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.11662
Epoch  47:  Train Loss: 5.8759e-01,  Validation Loss: 4.7140e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.13879
Epoch  48:  Train Loss: 5.0840e-01,  Validation Loss: 3.5945e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.16121
Epoch  49:  Train Loss: 2.6387e-01,  Validation Loss: 1.7931e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.18338
Epoch  50:  Train Loss: 1.2699e-01,  Validation Loss: 8.1416e-02,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.2048
Epoch  51:  Train Loss: 5.4429e-02,  Validation Loss: 3.2223e-02,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.225
Epoch  52:  Train Loss: 2.0157e-02,  Validation Loss: 1.0709e-02,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.24352
Epoch  53:  Train Loss: 6.1669e-03,  Validation Loss: 2.8727e-03,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.25996
Epoch  54:  Train Loss: 1.4918e-03,  Validation Loss: 5.8253e-04,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.27394
Epoch  55:  Train Loss: 2.7127e-04,  Validation Loss: 8.5737e-05,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.28515
Epoch  56:  Train Loss: 3.4678e-05,  Validation Loss: 8.2536e-06,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.29334
Epoch  57:  Train Loss: 2.8881e-06,  Validation Loss: 4.8299e-07,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.29832
Epoch  58:  Train Loss: 1.4244e-07,  Validation Loss: 1.5046e-08,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.3
Epoch  59:  Train Loss: 3.9659e-09,  Validation Loss: 9.5485e-10,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.3
Early stopping at epoch 59 as train loss 0.0000000010 is below the threshold 0.0000000100
Traininng Stopped. Time elapsed: 57.68s
Training dimension 2...
Epoch   1:  Train Loss: 7.3410e+02,  Validation Loss: 4.1956e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 2.9530e+00,  Validation Loss: 2.1275e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 1.8852e+00,  Validation Loss: 1.3781e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 1.2669e+00,  Validation Loss: 1.0843e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 1.0301e+00,  Validation Loss: 9.1192e-01,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 8.4605e-01,  Validation Loss: 7.0838e-01,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 7.5951e-01,  Validation Loss: 6.4727e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 6.8710e-01,  Validation Loss: 5.3691e-01,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.0016754
Epoch   9:  Train Loss: 1.0849e+01,  Validation Loss: 2.8287e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.0066641
Epoch  10:  Train Loss: 5.5750e+00,  Validation Loss: 3.4779e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.014855
Epoch  11:  Train Loss: 9.1282e+00,  Validation Loss: 5.5238e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.026064
Epoch  12:  Train Loss: 8.4766e+00,  Validation Loss: 6.8942e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.040042
Epoch  13:  Train Loss: 7.1503e+00,  Validation Loss: 6.8432e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.056477
Epoch  14:  Train Loss: 7.4463e+00,  Validation Loss: 7.2569e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.075
Epoch  15:  Train Loss: 9.8965e+00,  Validation Loss: 9.7845e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.095199
Epoch  16:  Train Loss: 1.0137e+01,  Validation Loss: 1.0060e+01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.11662
Epoch  17:  Train Loss: 1.0364e+01,  Validation Loss: 1.0292e+01,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.13879
Epoch  18:  Train Loss: 9.7992e+00,  Validation Loss: 9.7810e+00,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.16121
Epoch  19:  Train Loss: 1.3031e+01,  Validation Loss: 1.2691e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.18338
Epoch  20:  Train Loss: 1.4119e+01,  Validation Loss: 1.3832e+01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.2048
Epoch  21:  Train Loss: 1.3267e+01,  Validation Loss: 1.3102e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.225
Epoch  22:  Train Loss: 1.3115e+01,  Validation Loss: 1.2825e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.24352
Epoch  23:  Train Loss: 1.2404e+01,  Validation Loss: 1.2281e+01,  Epoch Time: 0.93s,  Current Pruning Threshold: 0.25996
Epoch  24:  Train Loss: 1.1919e+01,  Validation Loss: 1.1961e+01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.27394
Epoch  25:  Train Loss: 1.2594e+01,  Validation Loss: 1.2382e+01,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.28515
Epoch  26:  Train Loss: 1.1938e+01,  Validation Loss: 1.1972e+01,  Epoch Time: 0.94s,  Current Pruning Threshold: 0.29334
Epoch  27:  Train Loss: 1.1607e+01,  Validation Loss: 1.1698e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.29832
Epoch  28:  Train Loss: 1.1430e+01,  Validation Loss: 1.1583e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.3
Epoch  29:  Train Loss: 1.1349e+01,  Validation Loss: 1.1585e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.3
Epoch  30:  Train Loss: 1.1293e+01,  Validation Loss: 1.1545e+01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.3
Epoch  31:  Train Loss: 6.6226e+02,  Validation Loss: 2.9384e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch  32:  Train Loss: 1.8361e-01,  Validation Loss: 1.1505e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  33:  Train Loss: 9.6327e-02,  Validation Loss: 7.7037e-02,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch  34:  Train Loss: 7.0068e-02,  Validation Loss: 6.4385e-02,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch  35:  Train Loss: 5.6146e-02,  Validation Loss: 4.9682e-02,  Epoch Time: 0.93s,  Current Pruning Threshold: 0
Epoch  36:  Train Loss: 4.9597e-02,  Validation Loss: 4.2450e-02,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  37:  Train Loss: 4.3572e-02,  Validation Loss: 6.0830e-02,  Epoch Time: 0.92s,  Current Pruning Threshold: 0
Epoch  38:  Train Loss: 1.1845e+00,  Validation Loss: 6.4885e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.0016754
Epoch  39:  Train Loss: 8.9338e-01,  Validation Loss: 7.3717e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.0066641
Epoch  40:  Train Loss: 1.2566e+00,  Validation Loss: 8.7288e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0.014855
Epoch  41:  Train Loss: 1.7101e+00,  Validation Loss: 1.4038e+00,  Epoch Time: 0.92s,  Current Pruning Threshold: 0.026064
