Training dimension 1...
Epoch   1:  Train Loss: 2.9149e+01,  Validation Loss: 8.2073e+00,  Epoch Time: 0.57s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 3.8727e+01,  Validation Loss: 1.4030e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 2.3000e+00,  Validation Loss: 4.8616e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 3.4881e+01,  Validation Loss: 1.1638e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 7.1472e+00,  Validation Loss: 2.9993e+00,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 3.3426e+01,  Validation Loss: 3.3068e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.7891e+01,  Validation Loss: 1.7300e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 2.7441e+01,  Validation Loss: 1.9157e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 2.0615e+00,  Validation Loss: 1.7926e+00,  Epoch Time: 0.43s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 6.7523e-01,  Validation Loss: 2.3695e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.00087931
Epoch  11:  Train Loss: 1.1172e+00,  Validation Loss: 3.3101e-01,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.0035069
Epoch  12:  Train Loss: 9.4386e+00,  Validation Loss: 1.5044e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.007852
Epoch  13:  Train Loss: 4.3153e+00,  Validation Loss: 2.1255e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.013864
Epoch  14:  Train Loss: 6.2336e+00,  Validation Loss: 3.3990e+00,  Epoch Time: 0.42s,  Current Pruning Threshold: 0.021471
Epoch  15:  Train Loss: 6.5844e+00,  Validation Loss: 5.5468e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.030586
Epoch  16:  Train Loss: 7.9482e+00,  Validation Loss: 7.8358e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.041101
Epoch  17:  Train Loss: 8.0353e+00,  Validation Loss: 8.0187e+00,  Epoch Time: 0.41s,  Current Pruning Threshold: 0.052892
Epoch  18:  Train Loss: 8.0597e+00,  Validation Loss: 8.0163e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.065822
Epoch  19:  Train Loss: 7.9555e+00,  Validation Loss: 7.8788e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.079739
Epoch  20:  Train Loss: 7.5910e+00,  Validation Loss: 7.5225e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.094479
Epoch  21:  Train Loss: 8.7939e+00,  Validation Loss: 8.6490e+00,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.10987
Epoch  22:  Train Loss: 8.0707e+00,  Validation Loss: 8.1330e+00,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.12573
Epoch  23:  Train Loss: 1.1048e+01,  Validation Loss: 1.0878e+01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0.14188
Epoch  24:  Train Loss: 1.1404e+01,  Validation Loss: 1.1121e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.15812
Epoch  25:  Train Loss: 1.0663e+01,  Validation Loss: 1.0540e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.17427
Epoch  26:  Train Loss: 1.0214e+01,  Validation Loss: 1.0171e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.19013
Epoch  27:  Train Loss: 9.9310e+00,  Validation Loss: 9.9542e+00,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.20552
Epoch  28:  Train Loss: 1.2656e+01,  Validation Loss: 1.2267e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.22026
Epoch  29:  Train Loss: 1.1785e+01,  Validation Loss: 1.1754e+01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.23418
Epoch  30:  Train Loss: 1.1389e+01,  Validation Loss: 1.1446e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.24711
Epoch  31:  Train Loss: 1.1189e+01,  Validation Loss: 1.1200e+01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.2589
Epoch  32:  Train Loss: 1.1073e+01,  Validation Loss: 1.1203e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.26941
Epoch  33:  Train Loss: 1.1026e+01,  Validation Loss: 1.1146e+01,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.27853
Epoch  34:  Train Loss: 1.1010e+01,  Validation Loss: 1.1144e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.28614
Epoch  35:  Train Loss: 1.1011e+01,  Validation Loss: 1.1082e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.29215
Epoch  36:  Train Loss: 1.1019e+01,  Validation Loss: 1.1133e+01,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.29649
Epoch  37:  Train Loss: 1.1005e+01,  Validation Loss: 1.1182e+01,  Epoch Time: 0.40s,  Current Pruning Threshold: 0.29912
Epoch  38:  Train Loss: 1.1002e+01,  Validation Loss: 1.1151e+01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.3
Epoch  39:  Train Loss: 1.1012e+01,  Validation Loss: 1.1161e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.3
Epoch  40:  Train Loss: 1.1003e+01,  Validation Loss: 1.1160e+01,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.3
Epoch  41:  Train Loss: 7.4806e+02,  Validation Loss: 3.9895e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch  42:  Train Loss: 2.5036e-01,  Validation Loss: 1.3507e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch  43:  Train Loss: 1.1469e-01,  Validation Loss: 7.8441e-02,  Epoch Time: 0.38s,  Current Pruning Threshold: 0
