Total Dimensions: 100
Training dimension 1...
/opt/anaconda3/envs/tf/lib/python3.10/site-packages/keras/initializers/initializers_v2.py:120: UserWarning: The initializer RandomNormal is unseeded and being called multiple times, which will return identical values  each time (even if the initializer is unseeded). Please update your code to provide a seed to the initializer, or avoid using the same initalizer instance more than once.
  warnings.warn(
Epoch   1:  Train Loss: 8.090e-01,  Validation Loss: 4.864e-02,  Epoch Time: 0.72s,  Current Pruning Threshold: 0
Epoch   2:  Train Loss: 1.256e-02,  Validation Loss: 4.624e-03,  Epoch Time: 0.50s,  Current Pruning Threshold: 0
Epoch   3:  Train Loss: 3.513e-03,  Validation Loss: 4.372e-03,  Epoch Time: 0.52s,  Current Pruning Threshold: 0
Epoch   4:  Train Loss: 7.970e-03,  Validation Loss: 1.439e-02,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch   5:  Train Loss: 3.571e-02,  Validation Loss: 1.387e-01,  Epoch Time: 0.47s,  Current Pruning Threshold: 0
Epoch   6:  Train Loss: 1.449e+02,  Validation Loss: 4.048e+00,  Epoch Time: 0.44s,  Current Pruning Threshold: 0
Epoch   7:  Train Loss: 1.912e+00,  Validation Loss: 1.106e+00,  Epoch Time: 0.47s,  Current Pruning Threshold: 0
Epoch   8:  Train Loss: 6.874e-01,  Validation Loss: 5.473e-01,  Epoch Time: 0.49s,  Current Pruning Threshold: 0
Epoch   9:  Train Loss: 3.706e-01,  Validation Loss: 3.308e-01,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch  10:  Train Loss: 2.352e-01,  Validation Loss: 2.214e-01,  Epoch Time: 0.50s,  Current Pruning Threshold: 0
Epoch  11:  Train Loss: 1.628e-01,  Validation Loss: 1.612e-01,  Epoch Time: 0.50s,  Current Pruning Threshold: 0
Epoch  12:  Train Loss: 1.228e-01,  Validation Loss: 1.246e-01,  Epoch Time: 0.50s,  Current Pruning Threshold: 0
Epoch  13:  Train Loss: 9.844e-02,  Validation Loss: 1.029e-01,  Epoch Time: 0.48s,  Current Pruning Threshold: 0
Epoch  14:  Train Loss: 8.564e-02,  Validation Loss: 9.184e-02,  Epoch Time: 0.50s,  Current Pruning Threshold: 0.00063697
Epoch  15:  Train Loss: 8.368e-02,  Validation Loss: 1.040e-01,  Epoch Time: 0.48s,  Current Pruning Threshold: 0.0025446
Epoch  16:  Train Loss: 1.487e-01,  Validation Loss: 2.533e-01,  Epoch Time: 0.49s,  Current Pruning Threshold: 0.0057133
Epoch  17:  Train Loss: 1.503e-01,  Validation Loss: 1.277e-01,  Epoch Time: 0.45s,  Current Pruning Threshold: 0.010127
Epoch  18:  Train Loss: 1.075e-01,  Validation Loss: 6.608e-02,  Epoch Time: 0.50s,  Current Pruning Threshold: 0.015763
Epoch  19:  Train Loss: 5.896e-02,  Validation Loss: 5.119e-02,  Epoch Time: 0.47s,  Current Pruning Threshold: 0.022592
Epoch  20:  Train Loss: 6.105e-02,  Validation Loss: 3.802e-02,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.03058
Epoch  21:  Train Loss: 6.003e-02,  Validation Loss: 3.326e-02,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.039687
Epoch  22:  Train Loss: 6.004e-02,  Validation Loss: 2.736e-02,  Epoch Time: 0.43s,  Current Pruning Threshold: 0.049865
Epoch  23:  Train Loss: 5.868e-02,  Validation Loss: 2.430e-02,  Epoch Time: 0.48s,  Current Pruning Threshold: 0.061063
Epoch  24:  Train Loss: 4.028e-02,  Validation Loss: 1.893e-02,  Epoch Time: 0.46s,  Current Pruning Threshold: 0.073223
