method,method_label,data_points,num_output_dims,repeats,time_mean,time_std,loss_mean,loss_std,score_mean,main_rate,exact_rate
eql,EQL,3000,15,3,81.34015528361003,0.6189589290196573,0.10833791329222213,0.04163597362744148,0.9703592611982862,0.6444444444444445,0.0
eql,EQL,4000,15,3,104.41565736134847,1.9755022797069464,0.10878272235724813,0.049026488838994214,0.9695351092364571,0.6666666666666666,0.044444444444444446
eql,EQL,5000,15,3,119.89830581347148,1.5774144463495698,0.10419163224606821,0.06878569404135175,0.9698085217121607,0.6,0.0
eql,EQL,6000,15,3,140.71109557151794,0.2980560525701041,0.1380545173802977,0.07819056570612756,0.9562698700602486,0.5333333333333333,0.022222222222222223
eql,EQL,7000,15,3,163.87275791168213,0.5882516985391891,0.1235758922161357,0.07457358509068218,0.9601587921836732,0.5555555555555556,0.0
eql,EQL,8000,15,3,187.57424982388815,0.5564720755418127,0.09912987932092017,0.053507752636941186,0.9658404613657731,0.5555555555555556,0.044444444444444446
eql,EQL,9000,15,3,210.89853636423746,0.11830785463078786,0.10059177796849654,0.026284906154646324,0.9663675759753261,0.5777777777777777,0.06666666666666667
eql,EQL,10000,15,3,234.0843915939331,0.41077418925053577,0.08604357248170817,0.0389420172012866,0.9707767308384229,0.5555555555555556,0.0
symbolnet,SymbolNet,3000,15,3,164.50539890925089,1.6722485369167726,0.03493125058842881,0.0037081521496021455,0.9895485897875268,0.5777777777777777,0.022222222222222223
symbolnet,SymbolNet,4000,15,3,215.02469062805176,3.0933791461069737,0.024531462202052937,0.011502437201716481,0.9920643564191717,0.6222222222222222,0.0
symbolnet,SymbolNet,5000,15,3,259.3442980448405,1.7296890438413495,0.04921098274308095,0.02484445515923165,0.9833617119449234,0.6222222222222222,0.022222222222222223
symbolnet,SymbolNet,6000,15,3,302.781175216039,3.384666477172435,0.022503527885530745,0.0011293461426938225,0.9924051415701904,0.6444444444444445,0.022222222222222223
symbolnet,SymbolNet,7000,15,3,344.03723462422687,1.449637768461872,0.1305747019386114,0.11251383695847281,0.9590071340951821,0.5555555555555556,0.0
symbolnet,SymbolNet,8000,15,3,389.0120623906453,4.569424077385801,0.1304717681023456,0.15658720815153715,0.9529377486360211,0.5333333333333333,0.022222222222222223
symbolnet,SymbolNet,9000,15,3,433.20805311203003,3.2115579982657874,0.09271496580636847,0.03609489216149633,0.9663914639560991,0.4666666666666667,0.06666666666666667
symbolnet,SymbolNet,10000,15,3,480.91910576820374,3.1214827542698833,0.2731178509642313,0.30161775896124443,0.904009936050492,0.4222222222222222,0.06666666666666667
