Total Dimensions: 20
Training dimension 1...
Epoch   1 (Period 1):  Train Loss: 4.229e-01,  Validation Loss: 2.544e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 2.100e-02,  Validation Loss: 2.395e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 2.640e-02,  Validation Loss: 2.542e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 1.970e-01,  Validation Loss: 4.361e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 4.923e-01,  Validation Loss: 1.372e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 7.459e-02,  Validation Loss: 1.808e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 4.006e-01,  Validation Loss: 9.356e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 3.019e-01,  Validation Loss: 2.207e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 4.349e-01,  Validation Loss: 8.279e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 5.522e-01,  Validation Loss: 5.706e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 3.836e-01,  Validation Loss: 1.672e-01,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 1.567e-01,  Validation Loss: 9.418e-02,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  13 (Period 1):  Train Loss: 4.785e-02,  Validation Loss: 6.247e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  14 (Period 1):  Train Loss: 8.196e-03,  Validation Loss: 5.676e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.00025479
Epoch  15 (Period 1):  Train Loss: 4.769e-03,  Validation Loss: 1.613e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0010179
Epoch  16 (Period 1):  Train Loss: 5.904e-03,  Validation Loss: 8.964e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  17 (Period 1):  Train Loss: 4.392e-03,  Validation Loss: 3.722e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  18 (Period 1):  Train Loss: 1.345e-03,  Validation Loss: 4.176e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.006305
Epoch  19 (Period 1):  Train Loss: 2.151e-03,  Validation Loss: 3.424e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0090368
Epoch  20 (Period 1):  Train Loss: 1.543e-03,  Validation Loss: 2.706e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.012232
Epoch  21 (Period 1):  Train Loss: 1.028e-03,  Validation Loss: 2.869e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.015875
Epoch  22 (Period 1):  Train Loss: 1.219e-03,  Validation Loss: 4.605e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.019946
Epoch  23 (Period 1):  Train Loss: 1.291e-03,  Validation Loss: 5.301e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.024425
Epoch  24 (Period 1):  Train Loss: 1.170e-03,  Validation Loss: 6.339e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.029289
Epoch  25 (Period 1):  Train Loss: 2.058e-03,  Validation Loss: 1.099e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.034514
Epoch  26 (Period 1):  Train Loss: 1.481e-03,  Validation Loss: 9.101e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.040072
Epoch  27 (Period 1):  Train Loss: 1.644e-03,  Validation Loss: 1.371e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.045936
Epoch  28 (Period 1):  Train Loss: 1.357e-03,  Validation Loss: 1.139e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.052075
Epoch  29 (Period 1):  Train Loss: 1.669e-03,  Validation Loss: 1.189e-03,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.058458
Epoch  30 (Period 1):  Train Loss: 1.172e-03,  Validation Loss: 8.710e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.065054
Epoch  31 (Period 1):  Train Loss: 7.866e-04,  Validation Loss: 5.003e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.071827
Epoch  32 (Period 1):  Train Loss: 7.454e-04,  Validation Loss: 2.734e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.078743
Epoch  33 (Period 1):  Train Loss: 3.324e-04,  Validation Loss: 1.737e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.085769
Epoch  34 (Period 1):  Train Loss: 1.742e-04,  Validation Loss: 8.245e-05,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.092866
Epoch  35 (Period 1):  Train Loss: 8.101e-05,  Validation Loss: 2.487e-07,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.1
