Total Dimensions: 20
Training dimension 1...
Epoch   1 (Period 1):  Train Loss: 6.872e-02,  Validation Loss: 5.018e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 2.789e-03,  Validation Loss: 1.528e-03,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 1.180e-03,  Validation Loss: 9.617e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 6.628e-04,  Validation Loss: 1.301e-03,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 2.598e-03,  Validation Loss: 8.423e-03,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.370e-03,  Validation Loss: 3.029e-04,  Epoch Time: 0.11s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 2.463e-04,  Validation Loss: 2.127e-04,  Epoch Time: 0.12s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 3.653e-04,  Validation Loss: 1.698e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 1.797e-04,  Validation Loss: 1.594e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.240e-04,  Validation Loss: 8.938e-05,  Epoch Time: 0.09s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 1.076e-04,  Validation Loss: 1.349e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.00025479
Epoch  12 (Period 1):  Train Loss: 1.153e-04,  Validation Loss: 1.725e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0010179
Epoch  13 (Period 1):  Train Loss: 1.841e-04,  Validation Loss: 3.283e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0022853
Epoch  14 (Period 1):  Train Loss: 5.849e-04,  Validation Loss: 3.195e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.0040507
Epoch  15 (Period 1):  Train Loss: 6.984e-04,  Validation Loss: 6.195e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.006305
Epoch  16 (Period 1):  Train Loss: 6.574e-04,  Validation Loss: 5.203e-04,  Epoch Time: 0.09s,  Current Pruning Threshold: 0.0090368
Epoch  17 (Period 1):  Train Loss: 3.581e-04,  Validation Loss: 2.089e-04,  Epoch Time: 0.10s,  Current Pruning Threshold: 0.012232
