Epoch   1 (Period 1):  Train Loss: 9.811e+00,  Validation Loss: 2.673e-01,  Epoch Time: 0.90s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 2.261e-01,  Validation Loss: 1.227e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 9.1534e-07
Epoch   3 (Period 1):  Train Loss: 6.706e-01,  Validation Loss: 1.317e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 2.292e-06
Epoch   4 (Period 1):  Train Loss: 8.909e-02,  Validation Loss: 7.564e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 4.3623e-06
Epoch   5 (Period 1):  Train Loss: 5.138e+01,  Validation Loss: 8.275e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 7.4759e-06
Epoch   6 (Period 1):  Train Loss: 6.513e-01,  Validation Loss: 2.201e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 1.2158e-05
Epoch   7 (Period 1):  Train Loss: 4.146e+00,  Validation Loss: 5.845e-01,  Epoch Time: 0.87s,  Current Pruning Threshold: 1.9198e-05
Epoch   8 (Period 1):  Train Loss: 2.106e-01,  Validation Loss: 3.081e-01,  Epoch Time: 0.92s,  Current Pruning Threshold: 2.9781e-05
Epoch   9 (Period 1):  Train Loss: 4.306e-01,  Validation Loss: 1.012e+00,  Epoch Time: 0.93s,  Current Pruning Threshold: 4.5689e-05
Epoch  10 (Period 1):  Train Loss: 7.116e-01,  Validation Loss: 8.357e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 6.9592e-05
Epoch  11 (Period 1):  Train Loss: 1.669e+01,  Validation Loss: 3.954e+00,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00010549
Epoch  12 (Period 1):  Train Loss: 4.400e-01,  Validation Loss: 1.365e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00015936
Epoch  13 (Period 1):  Train Loss: 1.332e-01,  Validation Loss: 4.082e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00024011
Epoch  14 (Period 1):  Train Loss: 1.620e+00,  Validation Loss: 9.378e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.00036094
Epoch  15 (Period 1):  Train Loss: 5.293e-02,  Validation Loss: 3.706e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00054131
Epoch  16 (Period 1):  Train Loss: 3.182e-01,  Validation Loss: 1.083e+00,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.00080952
Epoch  17 (Period 1):  Train Loss: 1.010e+01,  Validation Loss: 8.407e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0012061
Epoch  18 (Period 1):  Train Loss: 7.327e-02,  Validation Loss: 5.055e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0017878
Epoch  19 (Period 1):  Train Loss: 4.111e-01,  Validation Loss: 3.708e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0026304
Epoch  20 (Period 1):  Train Loss: 5.935e-02,  Validation Loss: 1.331e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0038302
Epoch  21 (Period 1):  Train Loss: 7.612e-02,  Validation Loss: 1.877e-01,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.0054962
Epoch  22 (Period 1):  Train Loss: 2.699e+00,  Validation Loss: 2.126e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.0077317
Epoch  23 (Period 1):  Train Loss: 8.614e-02,  Validation Loss: 4.536e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.010597
Epoch  24 (Period 1):  Train Loss: 3.840e-02,  Validation Loss: 2.921e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.014061
Epoch  25 (Period 1):  Train Loss: 3.358e-02,  Validation Loss: 2.034e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.017966
Epoch  26 (Period 1):  Train Loss: 3.506e-02,  Validation Loss: 2.716e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.022034
Epoch  27 (Period 1):  Train Loss: 2.145e-02,  Validation Loss: 1.626e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.025939
Epoch  28 (Period 1):  Train Loss: 1.881e-02,  Validation Loss: 1.252e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.029403
Epoch  29 (Period 1):  Train Loss: 1.659e-02,  Validation Loss: 1.583e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.032268
Epoch  30 (Period 1):  Train Loss: 1.342e-02,  Validation Loss: 9.702e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.034504
Epoch  31 (Period 1):  Train Loss: 9.674e-03,  Validation Loss: 7.210e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03617
Epoch  32 (Period 1):  Train Loss: 1.010e-02,  Validation Loss: 7.541e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03737
Epoch  33 (Period 1):  Train Loss: 9.634e-03,  Validation Loss: 5.691e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.038212
Epoch  34 (Period 1):  Train Loss: 7.405e-03,  Validation Loss: 6.058e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.038794
Epoch  35 (Period 1):  Train Loss: 7.776e-03,  Validation Loss: 4.870e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03919
Epoch  36 (Period 1):  Train Loss: 7.292e-03,  Validation Loss: 4.454e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039459
Epoch  37 (Period 1):  Train Loss: 6.388e-03,  Validation Loss: 6.122e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039639
Epoch  38 (Period 1):  Train Loss: 5.519e-03,  Validation Loss: 7.147e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03976
Epoch  39 (Period 1):  Train Loss: 5.557e-03,  Validation Loss: 4.135e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039841
Epoch  40 (Period 1):  Train Loss: 5.853e-03,  Validation Loss: 5.333e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039895
Epoch  41 (Period 1):  Train Loss: 4.940e-03,  Validation Loss: 5.738e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03993
Epoch  42 (Period 1):  Train Loss: 4.647e-03,  Validation Loss: 5.177e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039954
Epoch  43 (Period 1):  Train Loss: 4.761e-03,  Validation Loss: 6.219e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.03997
Epoch  44 (Period 1):  Train Loss: 4.808e-03,  Validation Loss: 5.403e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039981
Epoch  45 (Period 1):  Train Loss: 4.863e-03,  Validation Loss: 3.938e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039988
Epoch  46 (Period 1):  Train Loss: 4.297e-03,  Validation Loss: 3.573e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039993
Epoch  47 (Period 1):  Train Loss: 4.224e-03,  Validation Loss: 3.278e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039996
Epoch  48 (Period 1):  Train Loss: 4.905e-03,  Validation Loss: 2.864e-03,  Epoch Time: 0.86s,  Current Pruning Threshold: 0.039998
Epoch  49 (Period 1):  Train Loss: 4.344e-03,  Validation Loss: 3.775e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.039999
Epoch  50 (Period 1):  Train Loss: 4.849e-03,  Validation Loss: 3.537e-03,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.04
Epoch  51 (Period 2):  Train Loss: 1.820e+01,  Validation Loss: 9.970e-02,  Epoch Time: 0.86s,  Current Pruning Threshold: 0
Epoch  52 (Period 2):  Train Loss: 3.526e-01,  Validation Loss: 3.986e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 9.1534e-07
Epoch  53 (Period 2):  Train Loss: 2.997e-01,  Validation Loss: 7.242e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 2.292e-06
Epoch  54 (Period 2):  Train Loss: 2.757e-01,  Validation Loss: 7.835e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 4.3623e-06
Epoch  55 (Period 2):  Train Loss: 2.168e+01,  Validation Loss: 1.177e+01,  Epoch Time: 0.85s,  Current Pruning Threshold: 7.4759e-06
Epoch  56 (Period 2):  Train Loss: 5.462e-01,  Validation Loss: 1.177e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 1.2158e-05
Epoch  57 (Period 2):  Train Loss: 1.672e-01,  Validation Loss: 1.476e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 1.9198e-05
Epoch  58 (Period 2):  Train Loss: 2.518e-01,  Validation Loss: 1.736e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 2.9781e-05
Epoch  59 (Period 2):  Train Loss: 3.249e-01,  Validation Loss: 1.838e+00,  Epoch Time: 0.85s,  Current Pruning Threshold: 4.5689e-05
Epoch  60 (Period 2):  Train Loss: 4.534e+01,  Validation Loss: 4.181e-01,  Epoch Time: 0.86s,  Current Pruning Threshold: 6.9592e-05
