
Epoch   1 (Period 1):  Train Loss: 1.537e+00,  Validation Loss: 9.768e-02,  Epoch Time: 0.39s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 4.696e-02,  Validation Loss: 3.946e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 1.919e-02,  Validation Loss: 2.781e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 1.415e-02,  Validation Loss: 2.523e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 1.415e-02,  Validation Loss: 2.027e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 2.027e-02,  Validation Loss: 3.239e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 5.309e-02,  Validation Loss: 9.203e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.270e-01,  Validation Loss: 1.305e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 1.063e-01,  Validation Loss: 1.091e-01,  Epoch Time: 0.37s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 8.329e-02,  Validation Loss: 9.022e-02,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 9.252e-02,  Validation Loss: 9.666e-02,  Epoch Time: 0.40s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 9.118e-02,  Validation Loss: 1.065e-01,  Epoch Time: 0.36s,  Current Pruning Threshold: 2.6637e-05
Epoch  13 (Period 1):  Train Loss: 8.304e-02,  Validation Loss: 9.176e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.00010635
Epoch  14 (Period 1):  Train Loss: 8.052e-02,  Validation Loss: 9.575e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00023852
Epoch  15 (Period 1):  Train Loss: 8.001e-02,  Validation Loss: 7.853e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.00042215
Epoch  16 (Period 1):  Train Loss: 6.431e-02,  Validation Loss: 6.496e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00065585
Epoch  17 (Period 1):  Train Loss: 4.223e-02,  Validation Loss: 4.291e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00093782
Epoch  18 (Period 1):  Train Loss: 2.755e-02,  Validation Loss: 2.629e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0012659
Epoch  19 (Period 1):  Train Loss: 1.387e-02,  Validation Loss: 1.306e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0016377
Epoch  20 (Period 1):  Train Loss: 7.149e-03,  Validation Loss: 6.738e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0020503
Epoch  21 (Period 1):  Train Loss: 3.514e-03,  Validation Loss: 3.782e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0025005
Epoch  22 (Period 1):  Train Loss: 2.058e-03,  Validation Loss: 2.117e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.002985
Epoch  23 (Period 1):  Train Loss: 1.338e-03,  Validation Loss: 1.363e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0035
Epoch  24 (Period 1):  Train Loss: 8.243e-04,  Validation Loss: 6.377e-04,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.0040417
Epoch  25 (Period 1):  Train Loss: 5.906e-04,  Validation Loss: 4.149e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0046059
Epoch  26 (Period 1):  Train Loss: 3.742e-04,  Validation Loss: 3.170e-04,  Epoch Time: 0.39s,  Current Pruning Threshold: 0.0051883
Epoch  27 (Period 1):  Train Loss: 4.854e-04,  Validation Loss: 5.779e-04,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0057845
Epoch  28 (Period 1):  Train Loss: 5.460e-04,  Validation Loss: 7.065e-04,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0063899
Epoch  29 (Period 1):  Train Loss: 6.774e-04,  Validation Loss: 7.862e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.007
Epoch  30 (Period 1):  Train Loss: 7.111e-04,  Validation Loss: 8.567e-04,  Epoch Time: 0.44s,  Current Pruning Threshold: 0.0076101
Epoch  31 (Period 1):  Train Loss: 7.006e-04,  Validation Loss: 7.991e-04,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0082155
Epoch  32 (Period 1):  Train Loss: 7.523e-04,  Validation Loss: 8.044e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0088117
Epoch  33 (Period 1):  Train Loss: 7.947e-04,  Validation Loss: 8.213e-04,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.0093941
Epoch  34 (Period 1):  Train Loss: 7.862e-04,  Validation Loss: 8.687e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0099583
Epoch  35 (Period 1):  Train Loss: 7.966e-04,  Validation Loss: 8.112e-04,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0105
Epoch  36 (Period 1):  Train Loss: 7.907e-04,  Validation Loss: 8.263e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.011015
Epoch  37 (Period 1):  Train Loss: 1.040e-03,  Validation Loss: 8.707e-04,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0115
Epoch  38 (Period 1):  Train Loss: 9.995e-04,  Validation Loss: 1.122e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.01195
Epoch  39 (Period 1):  Train Loss: 1.012e-03,  Validation Loss: 8.964e-04,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.012362
Epoch  40 (Period 1):  Train Loss: 9.963e-04,  Validation Loss: 9.684e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.012734
Epoch  41 (Period 1):  Train Loss: 9.881e-04,  Validation Loss: 9.274e-04,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.013062
Epoch  42 (Period 1):  Train Loss: 1.279e-03,  Validation Loss: 1.150e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.013344
Epoch  43 (Period 1):  Train Loss: 1.751e-03,  Validation Loss: 1.691e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.013578
Epoch  44 (Period 1):  Train Loss: 2.299e-03,  Validation Loss: 2.211e-03,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.013761
Epoch  45 (Period 1):  Train Loss: 3.633e-03,  Validation Loss: 3.447e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.013894
Epoch  46 (Period 1):  Train Loss: 5.274e-03,  Validation Loss: 5.020e-03,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.013973
Epoch  47 (Period 1):  Train Loss: 8.077e-03,  Validation Loss: 7.362e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.014
Epoch  48 (Period 1):  Train Loss: 1.085e-02,  Validation Loss: 1.008e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.014
Epoch  49 (Period 1):  Train Loss: 1.347e-02,  Validation Loss: 1.254e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.014
Epoch  50 (Period 1):  Train Loss: 1.660e-02,  Validation Loss: 1.598e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.014
Epoch  51 (Period 2):  Train Loss: 9.403e-01,  Validation Loss: 4.888e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch  52 (Period 2):  Train Loss: 2.734e-02,  Validation Loss: 1.616e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  53 (Period 2):  Train Loss: 9.686e-03,  Validation Loss: 9.834e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  54 (Period 2):  Train Loss: 9.092e-03,  Validation Loss: 1.271e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch  55 (Period 2):  Train Loss: 1.594e-02,  Validation Loss: 2.906e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  56 (Period 2):  Train Loss: 8.739e-02,  Validation Loss: 1.770e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  57 (Period 2):  Train Loss: 1.767e-01,  Validation Loss: 1.201e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  58 (Period 2):  Train Loss: 8.806e-02,  Validation Loss: 8.722e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0
Epoch  59 (Period 2):  Train Loss: 7.762e-02,  Validation Loss: 1.040e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  60 (Period 2):  Train Loss: 8.178e-02,  Validation Loss: 8.609e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0
Epoch  61 (Period 2):  Train Loss: 9.273e-02,  Validation Loss: 8.564e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch  62 (Period 2):  Train Loss: 7.869e-02,  Validation Loss: 1.017e-01,  Epoch Time: 0.31s,  Current Pruning Threshold: 2.6637e-05
Epoch  63 (Period 2):  Train Loss: 1.154e-01,  Validation Loss: 1.017e-01,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.00010635
Epoch  64 (Period 2):  Train Loss: 7.507e-02,  Validation Loss: 6.701e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00023852
Epoch  65 (Period 2):  Train Loss: 4.926e-02,  Validation Loss: 4.792e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.00042215
Epoch  66 (Period 2):  Train Loss: 3.544e-02,  Validation Loss: 3.821e-02,  Epoch Time: 0.31s,  Current Pruning Threshold: 0.00065585
Epoch  67 (Period 2):  Train Loss: 2.594e-02,  Validation Loss: 2.597e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.00093782
Epoch  68 (Period 2):  Train Loss: 1.269e-02,  Validation Loss: 1.134e-02,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0012659
Epoch  69 (Period 2):  Train Loss: 4.622e-03,  Validation Loss: 3.507e-03,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0016377
Epoch  70 (Period 2):  Train Loss: 1.648e-03,  Validation Loss: 1.514e-03,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0020503
Epoch  71 (Period 2):  Train Loss: 4.208e-04,  Validation Loss: 4.871e-04,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0025005
Epoch  72 (Period 2):  Train Loss: 2.697e-05,  Validation Loss: 2.243e-05,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.002985
Epoch  73 (Period 2):  Train Loss: 3.616e-06,  Validation Loss: 4.114e-06,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0035
Epoch  74 (Period 2):  Train Loss: 2.571e-06,  Validation Loss: 4.127e-06,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0040417
Epoch  75 (Period 2):  Train Loss: 2.627e-06,  Validation Loss: 3.982e-06,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0046059
Epoch  76 (Period 2):  Train Loss: 2.608e-06,  Validation Loss: 4.224e-06,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0051883
Epoch  77 (Period 2):  Train Loss: 3.153e-06,  Validation Loss: 4.169e-06,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0057845
Epoch  78 (Period 2):  Train Loss: 2.797e-06,  Validation Loss: 4.122e-06,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0063899
Epoch  79 (Period 2):  Train Loss: 8.447e-06,  Validation Loss: 5.745e-06,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.007
Epoch  80 (Period 2):  Train Loss: 1.130e-05,  Validation Loss: 6.891e-06,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0076101
Epoch  81 (Period 2):  Train Loss: 9.594e-06,  Validation Loss: 7.381e-06,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0082155
Epoch  82 (Period 2):  Train Loss: 1.039e-05,  Validation Loss: 7.967e-06,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0088117
Epoch  83 (Period 2):  Train Loss: 1.169e-05,  Validation Loss: 9.636e-06,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0093941
Epoch  84 (Period 2):  Train Loss: 1.412e-05,  Validation Loss: 7.779e-06,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0099583
Epoch  85 (Period 2):  Train Loss: 1.559e-05,  Validation Loss: 1.064e-05,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.0105
Epoch  86 (Period 2):  Train Loss: 1.932e-05,  Validation Loss: 1.351e-05,  Epoch Time: 0.32s,  Current Pruning Threshold: 0.011015
Epoch  87 (Period 2):  Train Loss: 2.995e-05,  Validation Loss: 1.632e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.0115
Epoch  88 (Period 2):  Train Loss: 2.110e-05,  Validation Loss: 3.109e-05,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.01195
Epoch  89 (Period 2):  Train Loss: 3.178e-05,  Validation Loss: 3.384e-05,  Epoch Time: 0.38s,  Current Pruning Threshold: 0.012362
Epoch  90 (Period 2):  Train Loss: 3.770e-05,  Validation Loss: 2.372e-05,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.012734
Epoch  91 (Period 2):  Train Loss: 4.550e-05,  Validation Loss: 6.336e-05,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.013062
Epoch  92 (Period 2):  Train Loss: 3.251e-05,  Validation Loss: 2.129e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.013344
Epoch  93 (Period 2):  Train Loss: 3.086e-05,  Validation Loss: 4.727e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.013578
Epoch  94 (Period 2):  Train Loss: 5.126e-05,  Validation Loss: 3.263e-05,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.013761
Epoch  95 (Period 2):  Train Loss: 3.458e-05,  Validation Loss: 1.744e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.013894
Epoch  96 (Period 2):  Train Loss: 4.456e-05,  Validation Loss: 2.444e-05,  Epoch Time: 0.36s,  Current Pruning Threshold: 0.013973
Epoch  97 (Period 2):  Train Loss: 5.510e-05,  Validation Loss: 5.182e-05,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.014
Epoch  98 (Period 2):  Train Loss: 3.878e-05,  Validation Loss: 1.956e-05,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.014
Epoch  99 (Period 2):  Train Loss: 3.985e-05,  Validation Loss: 3.821e-05,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.014
Epoch 100 (Period 2):  Train Loss: 3.765e-05,  Validation Loss: 2.924e-05,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.014
Epoch 101 (Period 3):  Train Loss: 8.914e-01,  Validation Loss: 5.144e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch 102 (Period 3):  Train Loss: 2.867e-02,  Validation Loss: 1.685e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch 103 (Period 3):  Train Loss: 1.076e-02,  Validation Loss: 1.015e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch 104 (Period 3):  Train Loss: 1.001e-02,  Validation Loss: 1.301e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch 105 (Period 3):  Train Loss: 2.713e-02,  Validation Loss: 6.360e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0
Epoch 106 (Period 3):  Train Loss: 1.435e-01,  Validation Loss: 1.590e-01,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch 107 (Period 3):  Train Loss: 1.371e-01,  Validation Loss: 1.100e-01,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch 108 (Period 3):  Train Loss: 7.797e-02,  Validation Loss: 8.435e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch 109 (Period 3):  Train Loss: 6.246e-02,  Validation Loss: 7.448e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch 110 (Period 3):  Train Loss: 8.993e-02,  Validation Loss: 9.437e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0
Epoch 111 (Period 3):  Train Loss: 9.850e-02,  Validation Loss: 1.033e-01,  Epoch Time: 0.33s,  Current Pruning Threshold: 0
Epoch 112 (Period 3):  Train Loss: 9.528e-02,  Validation Loss: 8.412e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 2.6637e-05
Epoch 113 (Period 3):  Train Loss: 7.779e-02,  Validation Loss: 8.488e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00010635
Epoch 114 (Period 3):  Train Loss: 7.130e-02,  Validation Loss: 6.841e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00023852
Epoch 115 (Period 3):  Train Loss: 5.362e-02,  Validation Loss: 6.374e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00042215
Epoch 116 (Period 3):  Train Loss: 4.774e-02,  Validation Loss: 4.512e-02,  Epoch Time: 0.35s,  Current Pruning Threshold: 0.00065585
Epoch 117 (Period 3):  Train Loss: 2.836e-02,  Validation Loss: 2.473e-02,  Epoch Time: 0.33s,  Current Pruning Threshold: 0.00093782
Epoch 118 (Period 3):  Train Loss: 1.310e-02,  Validation Loss: 1.173e-02,  Epoch Time: 0.34s,  Current Pruning Threshold: 0.0012659
