Epoch   1 (Period 1):  Train Loss: 1.485e+02,  Validation Loss: 3.220e+00,  Epoch Time: 0.81s,  Current Pruning Threshold: 0
Epoch   2 (Period 1):  Train Loss: 1.900e+00,  Validation Loss: 9.389e-01,  Epoch Time: 0.89s,  Current Pruning Threshold: 0
Epoch   3 (Period 1):  Train Loss: 7.665e-01,  Validation Loss: 5.017e-01,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch   4 (Period 1):  Train Loss: 4.339e-01,  Validation Loss: 3.027e-01,  Epoch Time: 0.88s,  Current Pruning Threshold: 0
Epoch   5 (Period 1):  Train Loss: 2.805e-01,  Validation Loss: 2.126e-01,  Epoch Time: 0.88s,  Current Pruning Threshold: 0
Epoch   6 (Period 1):  Train Loss: 1.985e-01,  Validation Loss: 1.550e-01,  Epoch Time: 0.82s,  Current Pruning Threshold: 0
Epoch   7 (Period 1):  Train Loss: 1.513e-01,  Validation Loss: 1.309e-01,  Epoch Time: 0.80s,  Current Pruning Threshold: 0
Epoch   8 (Period 1):  Train Loss: 1.271e-01,  Validation Loss: 1.155e-01,  Epoch Time: 0.83s,  Current Pruning Threshold: 0
Epoch   9 (Period 1):  Train Loss: 1.154e-01,  Validation Loss: 1.065e-01,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch  10 (Period 1):  Train Loss: 1.303e-01,  Validation Loss: 1.403e-01,  Epoch Time: 0.80s,  Current Pruning Threshold: 0
Epoch  11 (Period 1):  Train Loss: 1.916e-01,  Validation Loss: 3.551e-01,  Epoch Time: 0.84s,  Current Pruning Threshold: 0
Epoch  12 (Period 1):  Train Loss: 3.346e-01,  Validation Loss: 2.641e-01,  Epoch Time: 0.91s,  Current Pruning Threshold: 0
Epoch  13 (Period 1):  Train Loss: 2.145e-01,  Validation Loss: 1.296e-01,  Epoch Time: 0.80s,  Current Pruning Threshold: 0
Epoch  14 (Period 1):  Train Loss: 1.189e-01,  Validation Loss: 1.623e-01,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.00063697
Epoch  15 (Period 1):  Train Loss: 1.468e-01,  Validation Loss: 1.475e-01,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.0025446
Epoch  16 (Period 1):  Train Loss: 1.100e-01,  Validation Loss: 1.281e-01,  Epoch Time: 0.87s,  Current Pruning Threshold: 0.0057133
Epoch  17 (Period 1):  Train Loss: 7.429e-02,  Validation Loss: 5.470e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.010127
Epoch  18 (Period 1):  Train Loss: 4.858e-02,  Validation Loss: 3.922e-02,  Epoch Time: 0.80s,  Current Pruning Threshold: 0.015763
Epoch  19 (Period 1):  Train Loss: 3.912e-02,  Validation Loss: 3.859e-02,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.022592
Epoch  20 (Period 1):  Train Loss: 3.768e-02,  Validation Loss: 2.458e-02,  Epoch Time: 0.85s,  Current Pruning Threshold: 0.03058
Epoch  21 (Period 1):  Train Loss: 3.866e-02,  Validation Loss: 2.167e-02,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.039687
Epoch  22 (Period 1):  Train Loss: 3.612e-02,  Validation Loss: 1.847e-02,  Epoch Time: 0.90s,  Current Pruning Threshold: 0.049865
Epoch  23 (Period 1):  Train Loss: 2.469e-02,  Validation Loss: 8.576e-03,  Epoch Time: 0.76s,  Current Pruning Threshold: 0.061063
Epoch  24 (Period 1):  Train Loss: 8.138e-03,  Validation Loss: 2.429e-03,  Epoch Time: 0.79s,  Current Pruning Threshold: 0.073223
Epoch  25 (Period 1):  Train Loss: 1.508e-03,  Validation Loss: 5.265e-04,  Epoch Time: 0.77s,  Current Pruning Threshold: 0.086285
Epoch  26 (Period 1):  Train Loss: 2.653e-04,  Validation Loss: 1.098e-04,  Epoch Time: 0.78s,  Current Pruning Threshold: 0.10018
Epoch  27 (Period 1):  Train Loss: 6.950e-05,  Validation Loss: 7.575e-06,  Epoch Time: 0.83s,  Current Pruning Threshold: 0.11484
Epoch  28 (Period 1):  Train Loss: 1.129e-07,  Validation Loss: 2.843e-09,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.13019
Epoch  29 (Period 1):  Train Loss: 3.846e-11,  Validation Loss: 5.817e-14,  Epoch Time: 0.82s,  Current Pruning Threshold: 0.14615
Epoch  30 (Period 1):  Train Loss: 5.958e-14,  Validation Loss: 5.820e-14,  Epoch Time: 0.84s,  Current Pruning Threshold: 0.16263
